generation,num_individuals_total,loss_min,loss_avg,loss_max,fundamental_loss_min,fundamental_loss_avg,fundamental_loss_max,toots_loss_min,toots_loss_avg,toots_loss_max,brightness_loss_min,brightness_loss_avg,brightness_loss_max
49,1000,7.193223899143948,7.4255515672337165,7.593184089646437,0.009546667064235237,0.11582448547293911,0.3428095631287231,0.04722531114204287,0.16088385158988983,0.5529956695463678,6.9141235412291255,7.148843230170888,7.369245839941751
50,1000,7.193223899143948,7.4043222122205234,7.549189577497783,0.009546667064235237,0.11287418840883845,0.3428095631287231,0.04722531114204287,0.1690662747723335,0.5529956695463678,6.864757171390198,7.122381749039351,7.369245839941751
51,1000,7.193223899143948,7.382725207848002,7.510796066726596,0.009546667064235237,0.09811026962183211,0.3428095631287231,0.04722531114204287,0.17069991132385387,0.5529956695463678,6.864757171390198,7.113915026902315,7.334384905623486
52,1000,7.193223899143948,7.361373569695651,7.4654878364341,0.009546667064235237,0.08440544444688003,0.22567592945127224,0.04722531114204287,0.1606503452461665,0.396299676055083,6.864757171390198,7.116317780002603,7.334384905623486
53,1000,7.193223899143948,7.349451152197332,7.423936167161119,0.009546667064235237,0.09627928679246889,0.36479504639971516,0.04722531114204287,0.15616880136233702,0.396299676055083,6.864757171390198,7.097003064042527,7.334384905623486
54,1000,7.193223899143948,7.349451152197332,7.423936167161119,0.009546667064235237,0.09627928679246889,0.36479504639971516,0.04722531114204287,0.15616880136233702,0.396299676055083,6.864757171390198,7.097003064042527,7.334384905623486
55,1000,7.193223899143948,7.329117856469796,7.407328605423756,0.009546667064235237,0.07657938421815791,0.22567592945127224,0.04722531114204287,0.15941430056396078,0.396299676055083,6.864757171390198,7.093124171687679,7.287312932247901
56,1000,7.193223899143948,7.310138389824564,7.396262574976923,0.009546667064235237,0.08344671721722019,0.22567592945127224,0.04722531114204287,0.14780131845170885,0.4344153246773308,6.851537198393585,7.078890354155634,7.287312932247901
57,1000,7.193223899143948,7.298805932177862,7.366678552554386,0.009546667064235237,0.07360696011179213,0.16699002049147538,0.04722531114204287,0.1334821268137889,0.33136392630089606,6.893768170790434,7.0917168452522805,7.287312932247901
58,1000,7.163720338768495,7.287860394932518,7.350732266483359,0.009546667064235237,0.0686730719975146,0.16699002049147538,0.04722531114204287,0.11680481817735489,0.2803850907714578,6.893768170790434,7.102382504757648,7.287312932247901
59,1000,7.163720338768495,7.277476733764244,7.344084910454179,0.009546667064235237,0.07261428543288595,0.246054639339226,0.016456363803647456,0.11412836000067128,0.2803850907714578,6.893768170790434,7.090734088330689,7.287312932247901
60,1000,7.12651977745605,7.245672193127494,7.3114921902427135,0.009546667064235237,0.07457583682216518,0.246054639339226,0.008338558183447198,0.10319403210654521,0.24150503839148296,6.960108402683246,7.0679023241987835,7.156344346681091
61,1000,7.121100131938291,7.225093888651381,7.2824084286961845,0.009546667064235237,0.06178772704810909,0.18680637378749587,0.008338558183447198,0.10208536740094254,0.24150503839148296,6.960108402683246,7.0612207942023275,7.156344346681091
62,1000,7.121100131938291,7.21721064595432,7.2717631176420685,0.009546667064235237,0.06666152695993022,0.2842823720239185,0.008338558183447198,0.0992308429496751,0.24150503839148296,6.748418336044652,7.0513182760447135,7.156344346681091
63,1000,7.107796960189324,7.190415509575,7.247731943236186,0.009546667064235237,0.044061800244918015,0.12763910383934984,0.008338558183447198,0.09292011036203318,0.24327099939307484,6.874066161762599,7.05343359896805,7.158180681698553
64,1000,7.107796960189324,7.180818594562139,7.228237154325389,0.009546667064235237,0.036239811506658004,0.10822442934978582,0.008338558183447198,0.1076082033312129,0.3058294741354528,6.797688096682634,7.036970579724267,7.163347370498911
65,1000,7.097222965382871,7.169987196024747,7.226517135244782,0.009546667064235237,0.038231425121006524,0.10822442934978582,0.008338558183447198,0.12352981790973794,0.3058294741354528,6.7674589352602075,7.008225952994003,7.120349401997071
66,1000,7.097222965382871,7.159750313993316,7.209900663534704,0.009546667064235237,0.052999032295925286,0.18680637378749587,0.008338558183447198,0.10373750121673053,0.3058294741354528,6.7674589352602075,7.003013780480659,7.120349401997071
67,1000,7.095659893347876,7.136216517129901,7.185889769501922,0.009546667064235237,0.048049055184169465,0.12763910383934984,0.008338558183447198,0.11944340542712739,0.3058294741354528,6.7674589352602075,6.968724056518605,7.106948360562217
68,1000,7.062726059993334,7.125480229176975,7.163720338768495,0.009546667064235237,0.038243475395732585,0.12763910383934984,0.008338558183447198,0.12794739044476566,0.33136392630089606,6.766802357006027,6.959289363336478,7.106948360562217
69,1000,7.019173584357951,7.116046721635885,7.147545222658128,0.009546667064235237,0.042226702624429624,0.12763910383934984,0.008338558183447198,0.13447152230967485,0.33136392630089606,6.728289606615262,6.939348496701781,7.07808588569001
70,1000,7.019173584357951,7.10009700379459,7.13490138480759,0.009546667064235237,0.04221465234970356,0.10822442934978582,0.008338558183447198,0.12382541152756876,0.2803850907714578,6.719335449140894,6.934056939917317,7.07808588569001
71,1000,7.019173584357951,7.097414256986893,7.1307781390677585,0.009546667064235237,0.04516494941380422,0.10822442934978582,0.008338558183447198,0.11579775282351679,0.2803850907714578,6.719335449140894,6.936451554749572,7.07400616086148
72,1000,6.951596517360695,7.066513599705191,7.11633450461394,0.009546667064235237,0.04315329572826787,0.16699002049147538,0.008338558183447198,0.13122446080193173,0.2803850907714578,6.681169962659212,6.892135843174991,7.060371962202111
73,1000,6.951596517360695,7.054618883333194,7.097222965382871,0.009546667064235237,0.04314527316409622,0.16699002049147538,0.008338558183447198,0.14111477206842427,0.2803850907714578,6.661755114443396,6.870358838100673,7.051856139636554
74,1000,6.951596517360695,7.047458108397568,7.092167020113245,0.009546667064235237,0.05200825850025925,0.18680637378749587,0.008338558183447198,0.1490304785741685,0.25503014303434046,6.661755114443396,6.846419371323142,7.041453529411181
75,1000,6.951596517360695,7.037319443874763,7.080204879055658,0.009546667064235237,0.04021501617118339,0.10822442934978582,0.008338558183447198,0.1617096799749076,0.25503014303434046,6.661755114443396,6.835394747728674,7.028240281604045
76,1000,6.951596517360695,7.023854174018981,7.064113233295814,0.009546667064235237,0.04212436050651602,0.10822442934978582,0.008338558183447198,0.15341987571202176,0.2550368436129613,6.661755114443396,6.8283099378004435,7.028240281604045
77,1000,6.94104439595176,7.007802683790013,7.0519158969669755,0.009546667064235237,0.04507465757061668,0.10822442934978582,0.008338558183447198,0.15707169304372548,0.24150503839148296,6.655707626572559,6.805656333175669,7.028240281604045
78,1000,6.94104439595176,6.994187511937983,7.043598582249402,0.009546667064235237,0.0431572906711124,0.10822442934978582,0.008338558183447198,0.15454507918058336,0.24150503839148296,6.655707626572559,6.796485142086287,7.010020529263107
79,1000,6.94104439595176,6.984841359369765,7.021676815146463,0.009546667064235237,0.04610758773521306,0.10822442934978582,0.008338558183447198,0.18627275090229256,0.24150503839148296,6.655707626572559,6.75246102073226,6.943087037102627
80,1000,6.92282345645035,6.969241654083066,7.012573605949853,0.009546667064235237,0.033281491878385694,0.10822442934978582,0.008338558183447198,0.18627275090229256,0.24150503839148296,6.655707626572559,6.7496874113023875,6.943087037102627
81,1000,6.92282345645035,6.954688750243892,6.974859860196328,0.009546667064235237,0.018471804971381456,0.06855260834624843,0.008338558183447198,0.18780685763898664,0.24150503839148296,6.697126698731749,6.748410087633525,6.943087037102627
82,1000,6.910710296600404,6.944292257846844,6.968118780758476,0.009546667064235237,0.015521507907280796,0.04937893935120563,0.008338558183447198,0.17234529146801725,0.21615009065436563,6.692208062807877,6.756425458471544,6.943087037102627
83,1000,6.910710296600404,6.942326248139284,6.962183390042593,0.009546667064235237,0.013529894292932276,0.04937893935120563,0.008338558183447198,0.1700429716134768,0.25503014303434046,6.688763323507484,6.758753382232875,6.943087037102627
84,1000,6.910710296600404,6.935713449067954,6.948459981474522,0.009546667064235237,0.011538280678583757,0.04937893935120563,0.008338558183447198,0.16935783547076433,0.21615009065436563,6.692208062807877,6.754817332918606,6.9245858523285655
85,1000,6.872653339649931,6.928842558436919,6.945113025709627,0.009546667064235237,0.009546667064235237,0.009546667064235237,0.008338558183447198,0.16867713978333665,0.21615009065436563,6.692208062807877,6.750618751589348,6.9245858523285655
